Table S7. The PRI result of 1913 true external FCOCs using the optimal Mouse-QSTR model,,,,,,,,,,
CID,Score(MAE-LOO),Score(Proximity Train YObs Mean),Score(Similarity based AD),CompositeScore,PredictionQuality,YPred(Test),AD status,Closest Training Compound,Euclidean Distance,Generalized Jaccard Coeff.
382985,3,3,3,3,Good,2.562297827,In,10708,0.123156815,0.564238433
391002,2,3,3,3,Good,1.852147835,In,8554,0.133235115,0.73227358
399394,2,3,3,3,Good,2.345042853,In,3034829,0.336411233,0.705450151
399395,2,3,3,3,Good,1.945958828,In,8554,0.15911138,0.702012353
403970,2,3,3,3,Good,1.656784217,In,6781,0.023591795,0.954418675
409915,2,3,3,3,Good,1.243123543,In,24072,0.15806465,0.837107805
413761,2,3,3,3,Good,1.300652049,In,8554,0.190783603,0.683021799
415981,2,3,3,3,Good,1.870285412,In,24072,0.256107748,0.691778161
437399,2,3,3,3,Good,1.208462987,In,6785,0.308819095,0.563405213
437400,2,3,3,3,Good,1.769613086,In,33934,0.02139557,0.964550053
438019,2,3,3,3,Good,1.652076408,In,8554,0.06107537,0.886527388
438027,2,3,3,3,Good,1.829735044,In,6785,0.226579331,0.639498557
470404,2,3,3,3,Good,1.580390569,In,8554,0.080445707,0.853881816
518750,3,3,3,3,Good,3.208765191,In,26391,0.433496333,0.591817776
520132,2,3,3,3,Good,1.906783096,In,2347,0.070905355,0.895117908
520281,2,3,3,3,Good,1.9218218,In,2347,0.157797738,0.707317405
520638,2,3,3,3,Good,1.821800748,In,6781,0.050008052,0.85999574
520689,2,3,3,3,Good,1.319154622,In,8554,0.042259256,0.935678695
526520,2,3,3,3,Good,1.544847494,In,8554,0.124320442,0.77904575
540173,2,3,3,3,Good,1.471509008,In,6785,0.042881774,0.954250875
540670,2,3,3,3,Good,2.803026482,In,8344,0.307144948,0.635102121
586027,2,3,3,3,Good,1.578144697,In,6819,0.06839949,0.912754096
590776,2,3,3,3,Good,1.42425848,In,8554,5.55E-05,0.999909784
590783,2,3,3,3,Good,1.8953539,In,8554,0.147857189,0.732074276
595872,2,3,3,3,Good,1.260696709,In,8554,0.212756754,0.637585876
596028,2,3,3,3,Good,2.217543312,In,6785,0.359909296,0.556016605
605806,2,3,3,3,Good,2.500397444,In,8344,0.213959083,0.671066874
607564,2,3,3,3,Good,1.999441271,In,6785,0.189486646,0.679964119
610205,2,3,3,3,Good,2.042930663,In,8554,0.141970197,0.753328092
610228,2,3,3,3,Good,1.278454984,In,8554,0.192849658,0.676306693
610231,2,3,3,3,Good,2.065460082,In,8554,0.179636586,0.687417835
613072,2,3,3,3,Good,1.143250674,In,8554,0.113078023,0.844634893
613594,2,3,3,3,Good,1.685502014,In,8554,0.075125989,0.875705026
614114,2,3,3,3,Good,2.163701797,In,8344,0.166632687,0.750420704
615877,2,3,3,3,Good,1.391859871,In,8554,0.045119386,0.909674016
616675,2,3,3,3,Good,1.220523661,In,8554,0.08196799,0.882350118
617078,2,3,3,3,Good,1.209809679,In,8554,0.08628143,0.876920974
617214,2,3,3,3,Good,1.209809679,In,8554,0.08628143,0.876920974
617267,2,3,3,3,Good,1.209809679,In,8554,0.08628143,0.876920974
618721,2,3,2,3,Good,1.056890705,In,18725,0.21912501,0.759829897
619986,3,3,3,3,Good,2.630572456,In,41821,0.094790038,0.7905027
621872,2,3,3,3,Good,1.267802056,In,8554,0.062933752,0.90713311
624194,2,3,3,3,Good,1.494125579,In,8554,0.157024122,0.671736775
625237,2,3,3,3,Good,3.18359672,In,4115,0.078403499,0.898103989
625821,2,3,3,3,Good,1.239087417,In,6785,0.34971518,0.589611242
627580,2,3,3,3,Good,1.705319432,In,8554,0.122702622,0.752652414
627582,2,3,3,3,Good,2.114429635,In,202896,0.076056772,0.86549187
627583,2,3,3,3,Good,3.026747292,In,8573,0.244056972,0.734825352
629557,2,3,3,3,Good,1.768677688,In,8554,0.089408911,0.821277554
629824,2,3,3,3,Good,1.584081864,In,2391,0.173198152,0.776477724
631432,2,3,3,3,Good,1.826678638,In,6781,0.036949619,0.92657926
631667,2,3,3,3,Good,1.534016894,In,8554,0.185881158,0.700576052
633077,2,3,3,3,Good,2.55692835,In,8344,0.189712911,0.724935098
634543,2,3,3,3,Good,1.572779237,In,8554,0.08092048,0.815922678
640619,2,3,3,3,Good,2.866001744,In,15854,0.12935035,0.830181047
650478,2,3,3,3,Good,2.050953613,In,5502,0.109700236,0.775838603
660046,2,3,3,3,Good,2.728743856,In,2391,0.242162938,0.743350155
736307,2,3,3,3,Good,1.609106069,In,18725,0.252496017,0.640719084
745880,3,3,3,3,Good,2.911384501,In,4115,0.008771887,0.989610402
838557,3,3,3,3,Good,3.04589191,In,3079009,0.151225576,0.777548406
846589,2,3,3,3,Good,2.70888625,In,15854,0.089415741,0.86202673
878340,2,3,3,3,Good,3.0863197,In,3066718,0.114406094,0.843106964
900054,2,3,3,3,Good,2.835294511,In,3079009,0.175618422,0.677930795
1017569,3,3,3,3,Good,2.611392817,In,3066712,0.192909024,0.750655585
1023799,2,3,3,3,Good,2.637753261,In,3066712,0.197495926,0.740943678
1026564,2,3,3,3,Good,3.051981194,In,36713,0.14277293,0.7574623
1034761,2,3,3,3,Good,3.125269647,In,4115,0.185661071,0.727884744
1040650,2,3,3,3,Good,3.541655647,In,3034829,0.268645044,0.687501646
1042613,3,2,3,3,Good,3.880560735,In,3066716,0.294326525,0.61259506
1046981,2,3,3,3,Good,2.088605041,In,3089902,0.182746762,0.7168829
1050418,2,3,3,3,Good,2.473862851,In,2391,0.215680419,0.797296765
1070861,3,3,3,3,Good,1.988609933,In,3066715,0.291078169,0.687333205
1072480,2,3,3,3,Good,2.744048561,In,15854,0.191240288,0.762893926
1072481,2,3,3,3,Good,2.087460496,In,18725,0.376863982,0.554275626
1072485,3,3,3,3,Good,2.346717308,In,767036,0.117370117,0.658341877
1076662,3,3,3,3,Good,2.079056429,In,767036,0.073305582,0.799802598
1077192,2,3,3,3,Good,2.313214876,In,202896,0.120745333,0.748657285
1098909,2,3,3,3,Good,2.294642376,In,8344,0.170337397,0.760429464
1099234,2,3,3,3,Good,2.879690985,In,8573,0.212530997,0.710662591
1106874,2,3,3,3,Good,1.905332805,In,5502,0.076997952,0.774204728
1112352,3,3,3,3,Good,2.071164954,In,767036,0.15973942,0.527088787
1113512,2,3,3,3,Good,1.458088924,In,8554,0.13741626,0.757264927
1113683,3,3,3,3,Good,2.592001974,In,3079009,0.194513283,0.596837054
1117002,2,3,3,3,Good,1.060425626,In,6785,0.307870707,0.637991613
1118988,2,3,3,3,Good,2.601123703,In,8344,0.332917636,0.625133905
1128204,2,3,3,3,Good,2.178486411,In,18725,0.37066013,0.573711766
1160387,3,3,3,3,Good,2.724322863,In,767036,0.159981956,0.527458299
1160444,2,3,3,3,Good,2.48612431,In,2391,0.241919692,0.724802025
1187314,2,3,3,3,Good,2.256462862,In,2391,0.236867529,0.81196455
1187330,2,3,3,3,Good,2.279175912,In,2391,0.311741287,0.733187186
1188219,3,3,2,3,Good,3.434995812,In,3079007,0.256331392,0.706166734
1209089,2,3,3,3,Good,2.28581111,In,15854,0.201990987,0.70974946
1211820,2,3,3,3,Good,2.777471762,In,6785,0.32338572,0.582096377
1218923,2,3,3,3,Good,2.677707409,In,36713,0.126748605,0.720223589
1218942,3,3,3,3,Good,2.341619143,In,6626,0.081840495,0.821671861
1234824,2,3,3,3,Good,1.181643428,In,2391,0.217775907,0.764283239
1238651,2,3,3,3,Good,3.605093544,In,3066718,0.265404583,0.668920587
1248746,2,3,3,3,Good,2.106924278,In,2391,0.285905028,0.734562552
1255708,2,3,3,3,Good,2.619417159,In,70897,0.377086893,0.638230748
1289455,2,3,3,3,Good,2.707730851,In,70897,0.399389487,0.635747696
1351733,2,3,3,3,Good,1.599300225,In,6787,0.112359918,0.774978382
1368450,2,3,3,3,Good,2.921414007,In,3066716,0.121690831,0.823644269
1368670,2,3,3,3,Good,2.941253843,In,3034829,0.259397623,0.683589173
1377550,2,3,3,3,Good,3.301230255,In,4485134,0.421604474,0.614771726
