Table S5. Detailed RASTR descriptors of all compounds in Mouse and Rat q-RASTR models,,,,,,,,,,,,,,,,,,,,,
Mouse RASTR descriptors,,,,,,,,,,,,,,,,,,,,,
No.,CID,Status,pLD50,RA function(GK),SD Activity(GK),SE(GK),CVact(GK),CVsim(GK),MaxPos(GK),MaxNeg(GK),Abs MaxPos-MaxNeg,Avg.Sim(GK),SD similarity(GK),gm(GK)[Banerjee-Roy Coefficient],gm*Avg.Sim,gm*SD Similarity,Pos.Avg.Sim,Neg.Avg.Sim,sm1(GK)[Banerjee-Roy similarity coefficient 1],sm2(GK)[Banerjee-Roy similarity coefficient 2],gm_class(GK)
50,94652,Train,2.59,3.1049180680054556,0.20449824257553592,0.1336819611665426,0.06586268561569548,0.6503834318815647,0.07498958428813568,0,0.07498958428813568,0.04299991360995394,0.027966431384252644,1,0.04299991360995394,0.027966431384252644,0.04299991360995394,0,1,1,1
51,94965,Train,2.6,2.2116065264876754,0.43597876944777253,0.25409901112504246,0.19713215901029404,0.16905212446222,0.7071582487412059,0.5032069605281215,0.2039512882130844,0.6185322262151458,0.10456418689001686,0.33333333333333326,0.2061774087383819,0.034854728963338945,0.676194859058658,0.5032069605281215,0.28840968563420255,0.2796748353583206,1
52,158455,Train,1.99,1.770216818830056,1.081328333816219,0.6520808373683414,0.6108451362081587,0.3693785548716553,0.7073853070440478,0.435227838359316,0.2721574686847318,0.4994013625299669,0.1844681535922548,0.33333333333333337,0.16646712084332232,0.061489384530751603,0.7073853070440478,0.39540939027292643,0.3847372372236521,0.624699770923034,1
53,161559,Train,1.23,1.041497765297707,0.28653204836015905,0.16596099386153326,0.275115375094689,0.09826780092345372,0,0.943831680719664,0.943831680719664,0.8481882711851251,0.08334959617842824,-1,-0.8481882711851251,-0.08334959617842824,0,0.8481882711851251,-1,-1,0
54,162076,Train,2.82,2.254813337311136,0.6975610990491239,0.435121679463892,0.3093653419138301,0.5009318229947497,0.11721612935318643,0.0740208758872786,0.04319525346590783,0.07712414542646488,0.03863393876539124,0.33333333333333326,0.02570804847548829,0.012877979588463744,0.078675780196058,0.0740208758872786,0.36850946797394485,0.060355992057217554,1
55,171260,Test,1.01,1.29480532767132,0.5631885611685779,0.3384528589256844,0.43496002768343606,0.3538066299616028,0.43696176069740666,0.7651940492132366,0.32823228851583,0.5432984076096256,0.19222257865986683,-0.33333333333333337,-0.18109946920320855,-0.06407419288662229,0.43696176069740666,0.5964667310657349,-0.4289530072186454,-0.29358630199213986,0
56,200529,Train,1.18,1.8069319114579028,0.6565984894189003,0.3794817445042707,0.36337754912365855,0.05588417557701015,0.38616296101262343,0.34775287232174656,0.038410088690876865,0.36316892517363564,0.020295395978517514,0.33333333333333326,0.12105630839121186,0.00676513199283917,0.3708769515995802,0.34775287232174656,0.0994660093504443,0.06367306692547468,1
57,205831,Train,0.79,1.448835849029862,0.5291863651139513,0.3076304476339196,0.3652493589720972,0.1440003665844369,0.435227838359316,0.3699234871600599,0.0653043511992561,0.37748499296612376,0.05435797736724541,0.33333333333333337,0.12582833098870794,0.018119325789081805,0.435227838359316,0.34861357026952766,0.1500463560544168,0.2294508913035419,1
58,207344,Train,2.47,2.447309589547123,0.4687403905620416,0.2910177780460765,0.1915329358263915,0.48430352640393476,0.18741434377190425,0.06777489864936136,0.11963944512254289,0.12413512392481735,0.060119078267378494,0.33333333333333326,0.04137837464160577,0.020039692755792825,0.15231523656254534,0.06777489864936136,0.6383686686657883,0.6810347888675407,1
59,3034829,Train,2.81,3.1812026151145947,0.15190434427792568,0.09405532244535705,0.04775060335867783,0.4745500304521917,0.19907369484218873,0,0.19907369484218873,0.12921110882770706,0.06131713562894984,1,0.12921110882770706,0.06131713562894984,0.12921110882770706,0,1,1,1
60,3066198,Test,2.98,2.8079884615484203,0.45182399416318375,0.26753418022114095,0.1609066420144877,0.2787997025824985,0.37944266569623136,0,0.37944266569623136,0.2872839675634961,0.08009468471342286,1,0.2872839675634961,0.08009468471342286,0.2872839675634961,0,1,1,1
61,3079007,Train,2.91,2.5220795001029743,0.585781374043276,0.3693243263463234,0.2322612645713028,0.5373836765127258,0.6688968498525939,0.18797876516893625,0.48091808468365765,0.49161030185278415,0.26418335142118005,0.33333333333333326,0.1638701006175947,0.08806111714039333,0.6434260701947081,0.18797876516893625,0.7189719682334257,0.9264397090729772,1
62,3079008,Train,2.9,2.649117297545621,0.3255550213146162,0.19966816613055627,0.12289188614495836,0.43898221384047253,0.6688968498525939,0,0.6688968498525939,0.4552099662091249,0.19982907872872835,1,0.4552099662091249,0.19982907872872835,0.4552099662091249,0,1,1,1
63,3079010,Train,2.43,2.7628781679595344,0.5668763627345221,0.37122282595404316,0.20517602596757886,0.6555671383844558,0.6179552905368222,0.11616247244472303,0.5017928180920992,0.38596129102496257,0.25302353908440484,0.33333333333333326,0.1286537636749875,0.0843411796948016,0.5208607003150824,0.11616247244472303,0.8120212348310639,1.0485461554852789,1
64,3089902,Test,1.96,2.2850979025506106,0.7580245793709423,0.48333361414444465,0.3317252090270795,0.5740485112580866,0.14315721727754094,0.06979896398202705,0.07335825329551389,0.08693875681658138,0.04990706392118737,0.33333333333333337,0.02897958560552713,0.016635687973729125,0.14315721727754094,0.058829526586101605,0.512431400180776,0.9699666038398648,1
65,4485134,Train,4.62,2.673454618329473,0.4349515654230876,0.2551823041710014,0.16269270570033845,0.22120154880690157,0.03009017353131771,0,0.03009017353131771,0.024035860618222608,0.0053167695956576515,1,0.024035860618222608,0.0053167695956576515,0.024035860618222608,0,1,1,1
66,9588367,Test,3.16,3.0854178854306378,0.36676777099861185,0.34535692226245435,0.11887134405050659,1.577954802127792,0.4919609768715202,0,0.4919609768715202,0.17433324913097195,0.2750899876367579,1,0.17433324913097195,0.2750899876367579,0.17433324913097195,0,1,1,1
67,9588691,Train,3.11,2.3890759061592584,0.5120477069330055,0.29586486681618634,0.21432877273296308,0.04873780954984146,0.010020079728445529,0.00941639717436356,0.000603682554081969,0.009514976859513767,0.00046373913005013056,0.33333333333333326,0.003171658953171255,0.00015457971001671015,0.00956426670208887,0.00941639717436356,0.060247280504984735,0.015540713331053353,1
