Table S8. The PRI result of 1909 true external FCOCs using the optimal Rat-QSTR model,,,,,,,,,,
CID,Score(MAE-LOO),Score(Proximity Train YObs Mean),Score(Similarity based AD),CompositeScore,PredictionQuality,YPred(Test),AD status,Closest Training Compound,Euclidean Distance,Generalized Jaccard Coeff.
1042535,3,3,3,3,Good,2.123266496,In,51,0.284968469,0.68159437
1049920,2,3,1,3,Good,2.20602932,Outside AD,91,0.396998915,0.579380794
1072479,2,3,3,3,Good,2.481057958,In,79,0.116925635,0.895170626
1072482,2,3,3,3,Good,1.725692683,In,69,0.144586621,0.810214494
1079161,2,3,2,3,Good,2.247583449,In,91,0.335321808,0.703031851
1097197,2,3,1,3,Good,2.296286887,Outside AD,91,0.388421989,0.583691662
1101039,2,3,2,3,Good,2.327152774,In,91,0.343421545,0.664895732
1101042,2,3,3,3,Good,1.959550142,In,37,0.163074073,0.760770538
1105060,2,3,3,3,Good,2.407513945,In,33,0.267313026,0.715606617
1113682,2,3,3,3,Good,2.910782951,In,8,0.34703858,0.375566323
1115396,2,3,3,3,Good,3.219383574,In,79,0.181064409,0.801409769
1117051,2,3,3,3,Good,2.682253012,In,19,0.340436829,0.651163799
1120442,2,3,3,3,Good,2.589758259,In,79,0.086524803,0.901664684
1120443,2,3,3,3,Good,2.317061166,In,1,0.177360841,0.769024224
1120444,2,3,3,3,Good,2.217027518,In,1,0.169913109,0.797409839
1125114,2,3,3,3,Good,2.317474429,In,8,0.399924312,0.482402422
1126002,2,3,3,3,Good,1.087821851,In,42,0.10977041,0.892295642
1128197,2,3,3,3,Good,1.402086048,In,17,0.088529426,0.859551794
1128205,2,3,3,3,Good,2.170840521,In,31,0.290465088,0.633674545
1136286,2,3,3,3,Good,1.847434522,In,8,0.096377278,0.773819369
1188209,2,3,3,3,Good,1.895791233,In,8,0.263574296,0.625872825
1188218,3,3,1,3,Good,2.286177131,Outside AD,51,0.383822975,0.759022075
1188223,2,3,3,3,Good,3.047254692,In,36,0.367993698,0.546772567
1211350,2,3,3,3,Good,2.626575251,In,59,0.193890311,0.6704088
1216419,2,3,3,3,Good,1.772741728,In,54,0.250529418,0.739094596
1218924,2,3,3,3,Good,1.403496616,In,11,0.140306041,0.763048676
1222549,2,3,3,3,Good,1.26163703,In,11,0.052090372,0.905513865
