"Table S2.Detailed statistic information of the training, test and true external sets in the Rat-QSTR models  ",,,,,,,,,,,,,
Rat-QSTR Model,Compound Information,,,,Rat-QSTR Model-Descriptor Value,,,,,Predicted Activity by  Rat-QSTR,,Model's AD,
Dataset grouping,No.,CID,Status,Exp. endpoint,AATSC7i,CATS2D_08_DL,ChiA_X,F06[C-N],P_VSA_charge_10,Predicted endpoint,Residual,HAT i/i (h*=0.3529),
,77,113428,True external,-,0.0608884285234258,0,0.997458066089023,0,0,1.0936,-,0.0487,Good
,78,113467,True external,-,-0.202718353168846,0,0.995315913251129,0,9.18476976608839,2.5062,-,0.1145,Good
,79,113491,True external,-,0.0665557142647733,0,0.997294070352831,0,0,1.1382,-,0.0476,Good
,80,113585,True external,-,0.273536933675323,0,0.997146641708321,0,0,1.0482,-,0.0993,Good
,81,114498,True external,-,0.12865010188975,0,0.99739782799202,2,28.8563957213453,3.1474,-,0.1474,Good
,82,114499,True external,-,0.141527545166326,0,0.996961702119084,0,28.8563957213453,3.1156,-,0.1604,Good
,83,115343,True external,-,-0.245176297110291,12,0.996699097723164,0,10.4868561891685,3.5085,-,0.6354,Good
,84,115833,True external,-,-0.0604139492174163,2,0.998156060286959,0,28.8563957213453,3.1105,-,0.1761,Good
,85,117089,True external,-,0.293719001899371,0,0.994491890922855,0,0,1.8149,-,0.2532,Good
,86,117095,True external,-,0.179891245267003,0,0.998387956358282,0,20.9737123783369,2.1453,-,0.1273,Good
,87,117272,True external,-,-0.292882143325625,6,0.99626780100972,0,8.29853254294899,2.8726,-,0.1703,Good
,88,117391,True external,-,-0.379615822123485,4,0.996904736038149,4,13.2436037426935,3.1593,-,0.1504,Good
,89,117608,True external,-,-0.220683276509404,4,0.996552168783355,0,10.4868561891685,2.6731,-,0.0845,Good
,90,117950,True external,-,-0.139210363420285,0,0.9977102655638,0,5.24342809458423,1.4987,-,0.0422,Good
,91,118551,True external,-,0.412510954957645,0,0.996127205707562,0,0,1.2581,-,0.1849,Good
,92,118722,True external,-,-0.338721314749499,12,0.995103531958031,0,1.55073395989728,3.4403,-,0.647,Good
,93,118756,True external,-,-0.366563142008704,12,0.99729443887705,4,1.55073395989728,3.1179,-,0.6366,Good
,94,119169,True external,-,-0.181793626778859,4,0.997895431339371,2,9.83581297762843,2.3616,-,0.0909,Good
,95,119290,True external,-,-0.13225365944308,4,0.993835439992701,0,23.1952518515627,4.2632,-,0.3287,Moderate
