"Table S1.Detailed statistic information of the training, test and true external sets in the Mouse-QSTR models  ",,,,,,,,,,,,,,
Mouse-QSTR Model,Compound Information,,,,Mouse-QSTR Model-Descriptor Value,,,,,,Predicted Activity by  Mouse-QSTR,,Model's AD,
Dataset grouping,No.,CID,Status,Exp. endpoint,AATS3p,F10[C-O],minHBint3,P_VSA_charge_10,P_VSA_charge_14,SM1_Dzm,Predicted endpoint,Residual,HAT i/i (h*=0.4375),
,1434,10651580,True external,-,1.50998418647791,8,3.49594823379793,19.67162596,0.909874473,1.673828431,3.44,-,0.277,Good
,1435,10651803,True external,-,1.63571611346843,16,1.11708608932485,0,7.191330476,3.378072687,2.2927,-,0.3545,Good
,1436,10651866,True external,-,1.53255942573362,0,0,15.73028428,0,3.05137338,3.7292,-,0.2251,Good
,1437,10661943,True external,-,1.52371945503537,0,0,0,7.191330476,0.997062316,1.7085,-,0.064,Good
,1438,10662399,True external,-,1.55043118548307,3,2.70397638271308,0,0,1.744859054,2.5223,-,0.3595,Good
,1439,10666340,True external,-,1.6928369004663,0,2.96663958253447,10.48685619,7.191330476,1.531328252,2.6945,-,0.2626,Good
,1440,10666563,True external,-,1.66218345164245,3,0,28.13458888,7.191330476,1.495593475,3.146,-,0.3198,Good
,1441,10666565,True external,-,1.76200242291954,5,0,35.31330599,0,1.495593475,3.6011,-,0.4414,Good
,1442,10668421,True external,-,1.30438527590883,2,0,9.835812978,0,0.641031337,2.466,-,0.0676,Good
,1443,10668816,True external,-,1.44807737994234,4,0,5.243428095,0.909874473,0.997062316,2.1445,-,0.0578,Good
,1444,10669561,True external,-,1.6761742930693,4,0,5.243428095,7.191330476,2.050012841,2.1749,-,0.0329,Good
,1445,10670001,True external,-,1.79220599074335,5,0,33.37801697,7.191330476,1.994124633,3.4455,-,0.4239,Good
,1446,10670370,True external,-,1.71521242618181,0,0,16.85800609,14.38266095,1.994124633,2.5881,-,0.2164,Good
,1447,10670607,True external,-,1.64782695454545,6,0,0,0,1.820900693,2.0151,-,0.1058,Good
,1448,10671149,True external,-,1.25161791607176,11,0,10.48685619,10.33462961,2.357079229,2.676,-,0.1072,Good
,1449,10672465,True external,-,1.6101940015625,12,2.75370843498891,0,14.38266095,2.136624811,1.8238,-,0.3512,Good
,1450,10672839,True external,-,1.42215223596485,8,0,18.91585923,0,1.495593475,3.0046,-,0.0864,Good
,1451,10673201,True external,-,1.72631957017326,9,0,23.54220399,7.191330476,2.548452712,3.1275,-,0.1424,Good
,1452,10673208,True external,-,1.54678665017779,7,0,15.73028428,0,1.139562495,2.5787,-,0.0973,Good
,1453,10673347,True external,-,1.61753695083079,16,0,0,14.38266095,2.635155969,1.567,-,0.2076,Good
,1454,10673418,True external,-,1.78783142307964,10,0,3.185574951,14.38266095,2.74192137,1.8115,-,0.1051,Good
,1455,10673551,True external,-,1.42164950025543,4,0,15.07924107,7.191330476,0.997062316,2.4546,-,0.086,Good
,1456,10673753,True external,-,1.84348822694573,12,0,0,0,2.345275593,1.8498,-,0.2369,Good
,1457,10673963,True external,-,1.61892937961861,15,0,0,7.191330476,2.27912499,1.6911,-,0.2169,Good
,1458,10674493,True external,-,1.43456401262698,6,0,6.371149901,14.38266095,2.817963009,2.5167,-,0.101,Good
,1459,10674733,True external,-,1.6224875864077,16,0,0,0,0.997062316,1.311,-,0.4231,Good
,1460,10675058,True external,-,1.66900784529815,6,0,27.34486228,8.101204949,1.994124633,3.1951,-,0.2393,Good
,1461,10675159,True external,-,1.53325848961953,4,0,39.34325191,0,0.997062316,3.8482,-,0.5417,Good
,1462,10675221,True external,-,1.83914765624183,20,0,11.771102,0,3.388058184,2.6731,-,0.3237,Good
,1463,10676244,True external,-,1.53507236100606,2,0,36.35698034,0,2.780428353,4.5952,-,0.4634,Good
,1464,10676337,True external,-,2.06354917977698,4,0,8.429003045,7.191330476,4.894321949,3.2667,-,0.2754,Good
,1465,10683488,True external,-,1.61808178948235,0,0,5.243428095,0,0.498531158,1.9054,-,0.1279,Good
,1466,10685027,True external,-,1.51904578927459,2,2.7513139649043,0,0,1.744859054,2.5954,-,0.3808,Good
,1467,10686082,True external,-,1.73412291110683,1,0,9.835812978,7.191330476,0.997062316,1.9629,-,0.1594,Good
,1468,10686586,True external,-,1.42880328305385,2,0,0,0,0.498531158,1.7625,-,0.1058,Good
,1469,10686808,True external,-,1.44016750597256,4,0,10.48685619,0,1.139562495,2.5225,-,0.0505,Good
,1470,10688434,True external,-,1.76255249585691,0,0,10.48685619,0,2.070166272,2.7608,-,0.0558,Good
,1471,10690728,True external,-,1.73850269231933,0,0,14.77513016,7.191330476,1.673828431,2.5642,-,0.1292,Good
,1472,10691268,True external,-,1.26684218831054,2,0,9.835812978,0,0.641031337,2.505,-,0.0697,Good
,1473,10691695,True external,-,1.641650232581,6,0,15.73028428,0,0.997062316,2.448,-,0.1374,Good
,1474,10692092,True external,-,1.6129481953458,2,0,10.48685619,0,0.641031337,2.1789,-,0.1254,Good
,1475,10692240,True external,-,1.71644672924154,5,0,23.54220399,0,1.744859054,3.1576,-,0.1573,Good
,1476,10692309,True external,-,1.48487393681267,0,2.71396965462581,15.73028428,0,1.424562852,3.3572,-,0.2289,Good
,1477,10692718,True external,-,1.48898095035434,8,0,10.48685619,0.909874473,1.246327895,2.351,-,0.0722,Good
,1478,10692916,True external,-,1.77134807917954,6,0,31.97120704,14.38266095,1.994124633,3.1025,-,0.4921,Good
,1479,10693628,True external,-,1.16437493023439,5,0,5.243428095,7.191330476,0.997062316,2.1799,-,0.0566,Good
,1480,10694931,True external,-,1.60586306616699,8,0,23.54220399,14.38266095,1.994124633,2.7704,-,0.2156,Good
,1481,10695694,True external,-,1.56612115184173,16,0,20.97371238,0,1.246327895,2.5684,-,0.2581,Good
,1482,10695941,True external,-,1.41354098913653,5,1.25327732527364,10.48685619,0,1.282062673,2.7389,-,0.0666,Good
,1483,10696224,True external,-,1.55976329966215,14,0,4.592384883,0,1.994124633,2.1484,-,0.2012,Good
,1484,10696877,True external,-,1.49728939953185,6,0,10.48685619,14.38266095,0.997062316,1.8124,-,0.1337,Good
,1485,10696907,True external,-,1.60942790697088,7,0,15.73028428,0,1.139562495,2.5136,-,0.1152,Good
,1486,10697192,True external,-,1.52561192132172,8,0,15.07924107,13.87451736,3.010788295,2.9107,-,0.1089,Good
,1487,10697534,True external,-,1.55375566281206,18,1.17830794832352,15.73028428,7.191330476,2.38589039,2.6642,-,0.1433,Good
,1488,10698227,True external,-,1.5013504391375,2,0,19.67162596,0,1.032797094,2.952,-,0.1267,Good
,1489,10698229,True external,-,1.574847897843,14,0,0,0,0.997062316,1.4295,-,0.3325,Good
,1490,10698257,True external,-,1.50020470007503,6,0,19.67162596,7.191330476,1.282062673,2.6741,-,0.123,Good
,1491,10698648,True external,-,1.55904405926362,4,0,19.67162596,0.909874473,1.282062673,2.907,-,0.1119,Good
,1492,10698793,True external,-,1.5511043268375,4,0,28.72889232,0.909874473,2.017640619,3.7266,-,0.2181,Good
,1493,10706646,True external,-,1.67880957599056,0,0,10.48685619,0,1.159715925,2.4221,-,0.0839,Good
,1494,10708926,True external,-,1.5684702282851,0,0,27.70677912,0,0.747796737,3.2327,-,0.3303,Good
,1495,10711222,True external,-,1.80074568663291,4,0,11.771102,0,1.246327895,2.264,-,0.1352,Good
,1496,10711890,True external,-,1.64894452377993,2,0,33.37801697,7.191330476,1.246327895,3.3483,-,0.4979,Good
,1497,10713567,True external,-,1.67414876051648,0,0,10.48685619,0,0.498531158,2.1177,-,0.1705,Good
,1498,10715416,True external,-,1.60522720327794,0,2.77242561731914,6.371149901,14.38266095,2.029859411,2.5245,-,0.3031,Good
,1499,10715722,True external,-,1.49227058822612,4,0,15.73028428,0,1.139562495,2.739,-,0.0754,Good
,1500,10715761,True external,-,1.66649884970857,5,0,19.67162596,7.191330476,0.997062316,2.4026,-,0.2298,Good
,1501,10716607,True external,-,1.50702301966356,5,1.78408576458066,8.429003045,0,1.744859054,2.8184,-,0.1243,Good
,1502,10717370,True external,-,1.55018415489092,8,2.65258194892534,0,0,1.638093653,2.2936,-,0.3689,Good
,1503,10717689,True external,-,1.5765356208984,11,0,0,0,1.531328252,1.7812,-,0.199,Good
,1504,10719090,True external,-,1.60516087002618,13,0,26.72777894,14.38266095,2.243390212,2.8795,-,0.2476,Good
,1505,10719404,True external,-,1.57185391684761,8,0,0,0,1.709563209,1.973,-,0.1333,Good
,1506,10719897,True external,-,1.61523569524438,12,0,2.327920156,7.191330476,1.92309401,1.7522,-,0.1316,Good
,1507,10720341,True external,-,1.47681714235327,7,0,15.07924107,7.191330476,1.551481683,2.5529,-,0.0566,Good
,1508,10720658,True external,-,1.54968510955559,10,0,15.07924107,0,1.531328252,2.6217,-,0.094,Good
,1509,10721007,True external,-,1.64000465531115,16,0,0,22.4838659,3.714546104,1.7583,-,0.2621,Good
,1510,10721358,True external,-,1.7323942477786,14,0,8.429003045,14.38266095,2.635155969,1.9517,-,0.133,Good
,1511,10721431,True external,-,1.55068455459481,2,0,42.86687781,0,1.032797094,4.0977,-,0.6898,Good
,1512,10721674,True external,-,1.31349027815308,6,0.104085613977932,6.371149901,1.819748946,2.817963009,3.1054,-,0.2408,Good
,1513,10721695,True external,-,1.54608273761013,4,0,19.67162596,0,1.282062673,2.9531,-,0.1082,Good
,1514,10721746,True external,-,1.69048458201026,6,0,6.371149901,21.57399143,3.888828153,2.4939,-,0.212,Good
,1515,10721790,True external,-,1.54960222971848,6,0,15.07924107,11.57710378,1.424562852,2.2954,-,0.1086,Good
,1516,10721941,True external,-,1.54256513932802,0,0,19.67162596,0,1.175297273,3.0449,-,0.1384,Good
,1517,10722005,True external,-,1.56532663319883,4,0,19.67162596,7.191330476,1.282062673,2.6755,-,0.1466,Good
,1518,10722006,True external,-,1.55135244475596,6,0,19.67162596,7.191330476,1.282062673,2.621,-,0.1377,Good
,1519,10722020,True external,-,1.82295776125537,4,0,6.371149901,14.38266095,3.639562574,2.5663,-,0.129,Good
,1520,10722452,True external,-,1.87598325045212,4,0,10.48685619,0,2.659607622,2.7804,-,0.0607,Good
,1521,10722568,True external,-,1.68162432777678,12,0,31.46056857,0,1.994124633,3.4773,-,0.2659,Good
,1522,10722807,True external,-,1.47335979590595,22,0,20.97371238,28.7653219,2.884421549,2.1935,-,0.3771,Good
,1523,10723492,True external,-,1.68347800475728,12,0,0,0,2.696426553,2.1803,-,0.2302,Good
,1524,10732948,True external,-,1.72420182497222,1,2.71263356426543,0,0,1.495593475,2.2953,-,0.3185,Good
,1525,10735327,True external,-,1.49356856117139,2,0,21.38449806,0,0.747796737,2.9152,-,0.1749,Good
,1526,10735518,True external,-,1.77316501498486,2,0,10.48685619,0.909874473,1.139562495,2.213,-,0.1235,Good
,1527,10737343,True external,-,1.57826549059664,7,0,23.54220399,0,1.744859054,3.2322,-,0.1279,Good
,1528,10738154,True external,-,1.61994743704424,7,0,0,7.191330476,1.744859054,1.7165,-,0.0792,Good
,1529,10738398,True external,-,1.80525964151587,3,0,23.54220399,14.38266095,1.744859054,2.6193,-,0.3727,Good
,1530,10739699,True external,-,1.72170287270988,6,0,0,0,1.638093653,1.8529,-,0.1213,Good
,1531,10740268,True external,-,1.5906590093222,4,0,10.48685619,0,0.641031337,2.133,-,0.1281,Good
,1532,10740317,True external,-,1.61578255058674,0,0,0,0,1.360016913,2.0401,-,0.068,Good
,1533,10741585,True external,-,1.88023143796647,6,0,10.48685619,0,1.871686598,2.3385,-,0.1071,Good
,1534,10741691,True external,-,1.46773350263711,4,0,10.48685619,7.191330476,1.658247084,2.4789,-,0.0309,Good
,1535,10742773,True external,-,1.63188318896153,12,0,24.15928733,21.57399143,2.492655791,2.6127,-,0.3007,Good
,1536,10743239,True external,-,1.58127134161224,4,0,14.42819786,0,1.139562495,2.5793,-,0.0829,Good
,1537,10743986,True external,-,1.47124270002,9,3.45483031159862,30.15848214,0,1.495593475,3.931,-,0.2778,Good
,1538,10744838,True external,-,1.38463974914655,11,0,15.07924107,8.101204949,1.744859054,2.5684,-,0.0649,Good
,1539,10744886,True external,-,1.28025786646871,0,0,19.67162596,0,0.783531515,3.1343,-,0.1492,Good
,1540,10744970,True external,-,1.5829176754658,4,0,20.97371238,0.909874473,0.997062316,2.8161,-,0.1631,Good
,1541,10745010,True external,-,1.56879014647863,4,0,19.67162596,7.191330476,1.282062673,2.6719,-,0.1477,Good
,1542,10745941,True external,-,1.30288629280115,17,0,10.48685619,23.754807,2.357079229,1.935,-,0.1776,Good
,1543,10746172,True external,-,1.43693868528401,21,0,15.62033352,13.87451736,4.470646991,3.2646,-,0.4313,Good
,1544,10746531,True external,-,1.3877862276778,23,0,3.185574951,14.38266095,2.492655791,1.6618,-,0.3558,Moderate
,1545,10746664,True external,-,1.50850048906887,8,3.51638733113666,19.67162596,0.909874473,1.673828431,3.4441,-,0.2808,Moderate
,1546,10756521,True external,-,1.45980248559528,4,0,5.243428095,0,0.498531158,1.9318,-,0.1044,Good
,1547,10758779,True external,-,1.60582346352254,3,0,23.54220399,0,1.495593475,3.2251,-,0.1582,Good
,1548,10759945,True external,-,1.47547274699938,6,0,0,0,1.388828074,1.9922,-,0.1081,Good
,1549,10760443,True external,-,1.73481873923168,3,0,23.54220399,0,1.246327895,2.9745,-,0.224,Good
,1550,10760642,True external,-,1.6394258409795,0,0.257640822917286,0,0.909874473,2.319431851,2.4638,-,0.0994,Good
,1551,10761165,True external,-,1.70433136211833,0,-0.038210509,10.48685619,0,1.998514142,2.783,-,0.0534,Good
,1552,10761267,True external,-,1.59982685067642,8,0,0,0,1.744859054,1.9604,-,0.1338,Good
,1553,10762034,True external,-,1.39486600857564,6,0,10.48685619,0,0.641031337,2.2674,-,0.0903,Good
,1554,10762132,True external,-,1.72802338404108,2,0,5.243428095,0,1.46029763,2.1719,-,0.0659,Good
,1555,10762968,True external,-,1.74667407639371,4,0,0,0,0.747796737,1.4797,-,0.2003,Good
,1556,10764560,True external,-,1.6986242598415,2,0.0154445876806748,10.48685619,0,2.141014321,2.7932,-,0.0446,Good
,1557,10764586,True external,-,1.28750643423576,9,0,10.48685619,10.33462961,2.357079229,2.7078,-,0.0898,Good
,1558,10764789,True external,-,1.91226750721094,14,0,3.10146792,15.49968462,2.746310879,1.5018,-,0.2219,Good
,1559,10765041,True external,-,1.68760819904023,5,0,23.54220399,7.191330476,2.29927842,3.1893,-,0.1587,Good
,1560,10765689,True external,-,1.6103131290765,6,0,9.184769766,7.191330476,2.29927842,2.4942,-,0.0311,Good
,1561,10765839,True external,-,1.62214732902612,4,0,9.835812978,0,0.890296916,2.1833,-,0.1034,Good
,1562,10766558,True external,-,1.60977135014108,8,2.26243797988342,40.77938935,7.191330476,2.065594189,4.2296,-,0.3918,Good
,1563,10767131,True external,-,1.56628217154997,14,0,15.73028428,14.38266095,1.994124633,2.2013,-,0.1404,Good
,1564,10767909,True external,-,1.41168728583663,7,0,22.25795819,0,1.597478856,3.2701,-,0.1118,Good
,1565,10767929,True external,-,1.17330307250884,2,0,9.835812978,0,0.641031337,2.6022,-,0.0832,Good
,1566,10767978,True external,-,1.80740606865257,8,0,0,7.191330476,2.548452712,1.8629,-,0.1024,Good
,1567,10768082,True external,-,1.53734823690759,2,0,19.67162596,0,1.032797094,2.9146,-,0.1333,Good
,1568,10768373,True external,-,1.72485152832633,10,0,0,7.191330476,2.548452712,1.8796,-,0.1208,Good
,1569,10768728,True external,-,1.47830359061033,8,0,26.01531558,0.909874473,1.638093653,3.3466,-,0.1549,Good
,1570,10769288,True external,-,1.62196401275229,14,0,0,0,0.997062316,1.3806,-,0.3508,Good
,1571,10769386,True external,-,1.51524375147941,10,3.68218089009884,24.91505405,0.909874473,1.246327895,3.4594,-,0.2842,Good
,1572,10769834,True external,-,1.47222203704306,6,0,19.67162596,7.191330476,1.282062673,2.7032,-,0.1165,Good
,1573,10770327,True external,-,1.57158934667325,23,0,13.02138793,14.38266095,2.635155969,2.045,-,0.2888,Good
,1574,10770737,True external,-,1.63316114695168,13,0,15.73028428,7.191330476,1.780593832,2.324,-,0.1326,Good
,1575,10771022,True external,-,1.50356199008529,12,0,20.97371238,0,2.065594189,3.1546,-,0.1186,Good
,1576,10781560,True external,-,1.34855818349501,4,0,10.48685619,7.191330476,0.997062316,2.2936,-,0.0469,Good
,1577,10781907,True external,-,1.62399159611125,0,0,10.48685619,0,0.641031337,2.2365,-,0.1263,Good
,1578,10782248,True external,-,1.74036297066948,0,0,10.48685619,0,1.123889861,2.3414,-,0.1075,Good
,1579,10784048,True external,-,1.4681450163572,3,1.14326316220415,0,0,2.156686955,2.6053,-,0.2065,Good
,1580,10784864,True external,-,1.67777787972544,0,4.70382395209003,13.24360374,0,1.282062673,3.2105,-,0.6097,Good
,1581,10785096,True external,-,1.70658937233519,4,0,28.13458888,7.191330476,1.495593475,3.0653,-,0.3296,Good
,1582,10785380,True external,-,1.61789248710986,2,0,13.67243114,0,1.495593475,2.7378,-,0.0611,Good
,1583,10785776,True external,-,1.67137724177454,0,0,10.48685619,0,0.747796737,2.2372,-,0.1296,Good
,1584,10786008,True external,-,1.90223757264197,4,0,3.185574951,15.98913581,1.780593832,1.3927,-,0.2095,Good
,1585,10787648,True external,-,1.54308650342372,0,0,10.48685619,0,2.319431851,3.1054,-,0.0925,Good
,1586,10787706,True external,-,1.56875425313767,4,2.78638948684026,13.67243114,0,1.495593475,3.068,-,0.1941,Good
,1587,10788351,True external,-,1.59196100361792,11,0,47.08440799,0,2.243390212,4.5278,-,0.6116,Good
,1588,10788758,True external,-,1.81035905648487,6,0,0,0,2.120952177,1.9865,-,0.1185,Good
,1589,10789620,True external,-,1.67403042627906,0,0,6.371149901,14.38266095,3.026921727,2.5727,-,0.13,Good
,1590,10790220,True external,-,1.48158031934264,4,0,10.48685619,0.909874473,1.282062673,2.5135,-,0.0435,Good
,1591,10790286,True external,-,1.63188318896153,12,0,24.15928733,21.57399143,2.492655791,2.6127,-,0.3007,Good
,1592,10790580,True external,-,1.6144199325956,8,0,0,0,2.594541172,2.3425,-,0.1662,Good
,1593,10790721,True external,-,1.88917183988009,4,0,5.243428095,8.101204949,2.594541172,2.1756,-,0.063,Good
,1594,10790891,True external,-,1.66678349853658,8,0,0,0,0.997062316,1.5411,-,0.202,Good
,1595,10791437,True external,-,1.7312275875826,13,2.64936570894699,0,14.38266095,2.38589039,1.767,-,0.3613,Good
,1596,10791905,True external,-,1.87788557208267,2,0,10.48685619,0,2.197895395,2.6316,-,0.065,Good
,1597,10792119,True external,-,1.54850863558378,14,1.14490204665657,23.54220399,7.191330476,2.27912499,3.1568,-,0.0957,Good
,1598,10792383,True external,-,1.79117722022812,9,0,0,14.38266095,2.843806751,1.7258,-,0.1127,Good
,1599,10792829,True external,-,1.5609295710962,19,0,0,7.191330476,2.38589039,1.6632,-,0.3302,Good
,1600,10793105,True external,-,1.56986442300326,6,0,20.32266917,7.191330476,1.139562495,2.5687,-,0.1707,Good
,1601,10793371,True external,-,1.49936971920663,0,0,19.67162596,0,1.032797094,3.0231,-,0.1418,Good
,1602,10793417,True external,-,1.5121972730135,4,0,19.67162596,0.909874473,1.673828431,3.1389,-,0.0894,Good
,1603,10793444,True external,-,1.56019869632716,17,0,7.777959834,14.38266095,2.884421549,2.11,-,0.1592,Good
,1604,10794195,True external,-,1.4993833485302,10,0,24.26401084,0.909874473,1.673828431,3.182,-,0.1379,Good
,1605,10801866,True external,-,1.50813639181637,0,0,5.243428095,0,0.498531158,2.0197,-,0.0937,Good
,1606,10804464,True external,-,1.60978001246747,0,0,5.243428095,0,0.498531158,1.9141,-,0.1248,Good
,1607,10806708,True external,-,1.73001022362547,2,0,10.48685619,0,1.139562495,2.2904,-,0.1036,Good
,1608,10806765,True external,-,1.74058081425425,1,5.00246089872614,28.13458888,7.191330476,1.495593475,3.7588,-,0.6926,Good
,1609,10807224,True external,-,1.69701686745378,0,0,26.21714047,7.191330476,1.495593475,3.1144,-,0.3296,Good
,1610,10807320,True external,-,1.65040981478145,2,0,10.48685619,0,0.641031337,2.14,-,0.1411,Good
,1611,10808295,True external,-,1.56817190581233,4,0,5.133477332,0,1.994124633,2.5129,-,0.0564,Good
,1612,10808615,True external,-,1.57826549059664,5,0,23.54220399,0,1.744859054,3.3012,-,0.1316,Good
,1613,10808997,True external,-,1.28396485619111,2,0,9.835812978,0,0.641031337,2.4872,-,0.0685,Good
,1614,10809778,True external,-,1.76944524740697,4,0,9.835812978,7.191330476,1.495593475,2.0557,-,0.1082,Good
,1615,10810299,True external,-,1.65302617604651,0,2.84319315565507,6.371149901,14.38266095,2.029859411,2.4837,-,0.3114,Good
,1616,10810718,True external,-,1.2516826288494,2,0,9.835812978,0,0.641031337,2.5208,-,0.0711,Good
,1617,10811012,True external,-,1.55353657024622,12,0,0,0,0.997062316,1.5207,-,0.264,Good
,1618,10811409,True external,-,1.60060602178849,10,0,0,0,1.994124633,2.0071,-,0.1695,Good
,1619,10812627,True external,-,1.73104485665454,0,0,27.34486228,1.819748946,1.994124633,3.5627,-,0.2676,Good
,1620,10812909,True external,-,1.61680817326522,10,0,0,0,2.243390212,2.1068,-,0.1743,Good
,1621,10813350,True external,-,1.8451562429595,0,0,10.48685619,15.51903207,3.615624055,2.8418,-,0.2027,Good
,1622,10813419,True external,-,1.41615684789107,2,0.552782308170194,10.48685619,0,1.139562495,2.6856,-,0.0455,Good
,1623,10813565,True external,-,1.63869898662759,6,0,15.73028428,0,0.890296916,2.4012,-,0.152,Good
,1624,10813669,True external,-,1.77429203290144,8,0,3.185574951,14.38266095,2.243390212,1.6615,-,0.1037,Good
,1625,10814405,True external,-,1.85048026968316,7,0,0,14.38266095,2.6553094,1.6451,-,0.1106,Good
,1626,10815422,True external,-,1.56840787673989,13,0,2.327920156,7.191330476,1.92309401,1.7663,-,0.1448,Good
,1627,10815962,True external,-,1.76129528931123,9,0,0,7.191330476,3.031311236,2.1021,-,0.1256,Good
,1628,10816090,True external,-,1.45729832488487,2,0,15.07924107,0,0.641031337,2.5776,-,0.1076,Good
,1629,10816177,True external,-,1.41006037557018,18,0,15.73028428,7.191330476,1.638093653,2.3166,-,0.184,Good
,1630,10816227,True external,-,1.58675962300125,4,0,19.67162596,0.909874473,1.282062673,2.8782,-,0.1179,Good
,1631,10816960,True external,-,1.68110150277163,4,0,10.48685619,0.909874473,2.532780078,2.891,-,0.0528,Good
,1632,10816968,True external,-,1.53259648922788,6,0,20.97371238,14.38266095,2.843806751,3.1804,-,0.1753,Good
,1633,10816971,True external,-,1.56355210842945,4,0,20.32266917,0.909874473,1.139562495,2.8693,-,0.1331,Good
,1634,10817044,True external,-,1.58929841306828,13,0,15.07924107,13.87451736,3.117553695,2.7218,-,0.1098,Good
,1635,10817067,True external,-,1.52796699006775,12,0,15.07924107,13.87451736,3.117553695,2.8201,-,0.1119,Good
,1636,10817104,True external,-,1.42991110891807,10,2.19259522569017,10.48685619,6.762503079,1.638093653,2.591,-,0.1322,Good
,1637,10817153,True external,-,1.90249304356054,10,0,5.243428095,0,2.479755362,2.191,-,0.1458,Good
,1638,10817738,True external,-,1.50480800592177,10,0,24.26401084,0.909874473,1.673828431,3.1764,-,0.1386,Good
,1639,10818461,True external,-,1.66008237941731,20,0,25.56609726,10.33462961,2.998110566,3.0186,-,0.2485,Good
,1640,10828189,True external,-,1.58943431940638,3,0,23.54220399,0,1.246327895,3.1255,-,0.1743,Good
,1641,10830261,True external,-,1.64362264690831,4,0,0,7.191330476,1.495593475,1.6789,-,0.0684,Good
,1642,10831309,True external,-,1.5452306391108,4,0,0,0,0.997062316,1.8056,-,0.1033,Good
,1643,10833898,True external,-,1.57782052660456,4,0,5.243428095,7.191330476,1.495593475,2.0179,-,0.0382,Good
,1644,10834356,True external,-,1.52940151441778,5,1.91242651880375,5.243428095,0,2.156686955,2.8393,-,0.204,Good
,1645,10834593,True external,-,1.73479275664449,4,0,15.73028428,7.191330476,1.658247084,2.4719,-,0.1185,Good
,1646,10835543,True external,-,1.41353601390698,8,0,22.25795819,14.38266095,1.638093653,2.7376,-,0.1734,Good
,1647,10835876,True external,-,1.70345405067029,2,0,0,0,0.641031337,1.5437,-,0.1696,Good
,1648,10836887,True external,-,1.53266154795818,4,0,9.835812978,7.191330476,1.139562495,2.1353,-,0.0629,Good
,1649,10837291,True external,-,1.60376593707407,0,0,6.371149901,14.38266095,3.067228588,2.6646,-,0.1494,Good
,1650,10837691,True external,-,1.8477341490204,6,0,0,8.101204949,2.6553094,1.9074,-,0.086,Good
,1651,10837838,True external,-,1.60977135014108,8,2.28586271498548,40.77938935,7.191330476,2.065594189,4.2325,-,0.3922,Good
,1652,10838576,True external,-,1.78375592546644,8,0,0,0,1.360016913,1.5893,-,0.2026,Good
,1653,10838980,True external,-,1.64969780873972,10,0,10.48685619,22.4838659,2.978968158,2.1526,-,0.1478,Good
,1654,10839215,True external,-,1.6807102454121,4,0,0,0,3.641801386,2.9015,-,0.2842,Good
,1655,10839254,True external,-,1.89042445422449,6,0,0,8.101204949,2.843806751,1.9512,-,0.0938,Good
,1656,10839706,True external,-,1.6225664664612,8,0,31.87135425,0,1.246327895,3.3483,-,0.3252,Good
,1657,10839855,True external,-,1.52560487676858,18,1.20906307617313,0,0,2.029859411,1.9766,-,0.4292,Good
,1658,10840710,True external,-,1.48493984575576,15,0,26.01531558,0.909874473,1.887359232,3.2146,-,0.1902,Good
,1659,10840779,True external,-,1.51084381264622,14,0,19.67162596,13.87451736,4.241443556,3.5313,-,0.3037,Good
,1660,10840819,True external,-,1.56314342263028,14,0,7.777959834,14.38266095,2.635155969,2.094,-,0.1049,Good
,1661,10840916,True external,-,1.71769113030612,16,0,13.02138793,14.38266095,2.492655791,2.0682,-,0.1722,Good
,1662,10841413,True external,-,1.53578454954694,12,0,24.26401084,0.909874473,1.673828431,3.0751,-,0.1584,Good
,1663,10841416,True external,-,2.23239278410256,0,0,16.85800609,14.38266095,3.555567061,2.7808,-,0.3375,Moderate
,1664,10841944,True external,-,1.5212058174778,12,0,0,0,0.997062316,1.5543,-,0.2552,Moderate
,1665,10841985,True external,-,1.41396494921022,30,0.598652297813145,15.07924107,13.52500616,2.029859411,1.8958,-,0.5089,Good
,1666,10842133,True external,-,1.47903952089337,8,0,19.67162596,7.191330476,1.673828431,2.8103,-,0.0909,Good
,1667,10842322,True external,-,1.67129803644526,6,0,14.42819786,7.191330476,3.265616975,3.1533,-,0.1018,Good
,1668,10844302,True external,-,1.73122972072821,4,0,10.2850313,0,1.744859054,2.4927,-,0.0567,Moderate
,1669,10851768,True external,-,1.46520389171343,2,0,0,7.191330476,0.997062316,1.7003,-,0.0575,Good
,1670,10852767,True external,-,1.62588321008,0,0,10.48685619,0,0.747796737,2.2845,-,0.1127,Good
,1671,10854338,True external,-,1.60478731307389,0,0,10.48685619,0,0.997062316,2.4229,-,0.0799,Good
,1672,10858096,True external,-,1.6062974569756,0,0,0,0,0.498531158,1.6471,-,0.1338,Good
,1673,10860929,True external,-,1.61275464804679,3,0,0,0,0.498531158,1.5368,-,0.1649,Good
,1674,10862227,True external,-,1.65793768977026,8,0,5.243428095,8.101204949,2.370217756,2.1729,-,0.0494,Good
,1675,10862622,True external,-,1.73333134011111,7,3.10006936451321,0,8.101204949,2.243390212,2.1866,-,0.3916,Good
,1676,10863193,True external,-,1.63982602040532,7,0,10.48685619,8.101204949,2.136624811,2.3876,-,0.0388,Good
,1677,10863545,True external,-,1.52367503832659,6,0,10.48685619,14.70264819,2.512717935,2.4823,-,0.0664,Good
,1678,10863657,True external,-,1.71829390520411,8,0,15.73028428,0,0.747796737,2.1828,-,0.2433,Good
,1679,10863750,True external,-,1.85108080955799,3,0,17.01453009,0,1.854396659,2.8011,-,0.1176,Good
