"Table S1.Detailed statistic information of the training, test and true external sets in the Mouse-QSTR models  ",,,,,,,,,,,,,,
Mouse-QSTR Model,Compound Information,,,,Mouse-QSTR Model-Descriptor Value,,,,,,Predicted Activity by  Mouse-QSTR,,Model's AD,
Dataset grouping,No.,CID,Status,Exp. endpoint,AATS3p,F10[C-O],minHBint3,P_VSA_charge_10,P_VSA_charge_14,SM1_Dzm,Predicted endpoint,Residual,HAT i/i (h*=0.4375),
,158,250963,True external,-,1.35263487117426,2,0,4.592384883,14.38266095,1.638093653,2.0964,-,0.0587,Good
,159,250964,True external,-,1.22382207401861,0,0,4.592384883,14.38266095,0.997062316,1.9996,-,0.0844,Good
,160,250965,True external,-,1.21726587721649,2,0,4.592384883,14.38266095,1.638093653,2.2371,-,0.0848,Good
,161,251202,True external,-,1.93897438621382,0,0,0,14.38266095,3.641801386,2.2561,-,0.165,Good
,162,252418,True external,-,1.32498827079587,8,0,19.67162596,0,1.907421376,3.3371,-,0.114,Good
,163,254664,True external,-,1.12749684329423,18,0,9.184769766,28.7653219,2.492655791,1.8995,-,0.2521,Good
,164,257492,True external,-,1.71824635057913,0,2.6728845183989,10.48685619,0,1.907421376,3.0648,-,0.2273,Good
,165,257513,True external,-,1.71810356973854,0,0,0,0,1.622421019,2.0565,-,0.0705,Good
,166,257599,True external,-,1.41993335063061,12,0,10.48685619,14.38266095,2.619483335,2.4443,-,0.0855,Good
,167,257655,True external,-,1.50683632606759,10,2.15301603302421,39.34325191,0,3.992638775,5.3383,-,0.5902,Moderate
,168,267999,True external,-,1.55068007995719,4,0,10.48685619,13.52500616,2.405952534,2.5155,-,0.0657,Good
,169,272504,True external,-,1.7783622207412,0,0,0,28.7653219,2.136624811,1.2042,-,0.337,Good
,170,273813,True external,-,1.77270486866515,0,0,0,14.38266095,1.139562495,1.2589,-,0.1968,Good
,171,276088,True external,-,1.30274108574158,0,0,0,14.38266095,0.997062316,1.6806,-,0.0762,Good
,172,280322,True external,-,1.79631490561985,0,0,0,21.57399143,1.887359232,1.3265,-,0.22,Good
,173,281287,True external,-,1.41199440414509,4,0,0,14.38266095,0.997062316,1.429,-,0.0806,Good
,174,284733,True external,-,1.67660973768052,2,0,16.0003513,0,3.158138781,3.5743,-,0.1519,Good
,175,284736,True external,-,1.72889943894991,6,0,16.0003513,0,3.158138781,3.3818,-,0.1084,Good
,176,284737,True external,-,1.745234576927,6,0,16.0003513,0,3.158138781,3.3648,-,0.1053,Good
,177,285065,True external,-,1.63541724504108,8,0,10.48685619,0,2.904483692,3.0068,-,0.1048,Good
,178,285066,True external,-,1.62084978117011,8,2.89772823315911,10.48685619,0,1.907421376,2.9179,-,0.2487,Good
,179,286187,True external,-,1.745234576927,10,0,16.0003513,0,3.158138781,3.2267,-,0.1131,Good
,180,291874,True external,-,1.64487736798036,10,0,5.513495107,0,2.192421733,2.3383,-,0.1124,Good
,181,301221,True external,-,1.36316924604341,4,0,0,0,2.904483692,2.8867,-,0.3174,Good
